ORPHA:228343	DNAJC5
ORPHA:330	F12
ORPHA:99880	CDC73
ORPHA:457359	HERC1
ORPHA:659672	CPOX
ORPHA:457351	AFG2A
ORPHA:329	F11
ORPHA:228346	CLN3
ORPHA:99879	MEN1
ORPHA:99879	GCM2
ORPHA:99879	CDC73
ORPHA:328	F10
ORPHA:228349	TPP1
ORPHA:325	F2
ORPHA:324	GLA
ORPHA:327	F7
ORPHA:444048	MCM9
ORPHA:326	F5
ORPHA:101003	DSTYK
ORPHA:321	EXT1
ORPHA:321	EXT2
ORPHA:320	HSD11B2
ORPHA:13	PTS
ORPHA:14	MTTP
ORPHA:101006	B4GALNT1
ORPHA:3193	ELN
ORPHA:15	FGFR3
ORPHA:101000	SPART
ORPHA:228354	CLN8
ORPHA:101001	SPG21
ORPHA:3197	GLRB
ORPHA:3197	GLRA1
ORPHA:3197	GPHN
ORPHA:3197	ATAD1
ORPHA:3197	SLC6A5
ORPHA:16	OPN1MW
ORPHA:16	OPN1LW
ORPHA:101008	DDHD1
ORPHA:17	SUCLG1
ORPHA:251598	IDH2
ORPHA:370980	FKRP
ORPHA:370980	FKTN
ORPHA:370980	CRPPA
ORPHA:370980	POMT1
ORPHA:317	GJA1
ORPHA:317	GJB3
ORPHA:317	KDSR
ORPHA:317	GJB4
ORPHA:319	EWSR1
ORPHA:319	ERG
ORPHA:319	ETV1
ORPHA:319	ETV4
ORPHA:319	FLI1
ORPHA:313	ASPRV1
ORPHA:313	ALOX12B
ORPHA:313	CYP4F22
ORPHA:313	SULT2B1
ORPHA:313	ABCA12
ORPHA:313	LIPN
ORPHA:313	ALOXE3
ORPHA:313	NIPAL4
ORPHA:313	SDR9C7
ORPHA:313	TGM1
ORPHA:316	TRPM4
ORPHA:316	LORICRIN
ORPHA:316	KRT83
ORPHA:316	KDSR
ORPHA:369955	ABCD4
ORPHA:647667	MTX2
ORPHA:97286	SDHB
ORPHA:97286	SDHC
ORPHA:97286	SDHD
ORPHA:633024	SLC12A2
ORPHA:171863	SLC33A1
ORPHA:633021	SLC12A2
ORPHA:280183	CD320
ORPHA:295203	HOXD10
ORPHA:295201	HOXD10
ORPHA:633028	CPE
ORPHA:251589	IDH2
ORPHA:90647	KCNE1
ORPHA:90647	KCNQ1
ORPHA:623695	MIR140
ORPHA:97279	MEN1
ORPHA:97279	YY1
ORPHA:228329	PPT1
ORPHA:90641	POU3F4
ORPHA:90641	TFB1M
ORPHA:90641	MT-ND4
ORPHA:90641	MT-RNR1
ORPHA:90641	MT-TS1
ORPHA:90641	MT-CO1
ORPHA:90641	TRMU
ORPHA:90641	MT-TH
ORPHA:369942	ABCD1
ORPHA:369942	BCAP31
ORPHA:370959	GMPPB
ORPHA:370959	FKRP
ORPHA:370959	POMT2
ORPHA:370959	POMK
ORPHA:370959	POMGNT1
ORPHA:370959	POMT1
ORPHA:3175	ARX
ORPHA:171876	SCNN1G
ORPHA:171876	SCNN1A
ORPHA:171876	SCNN1B
ORPHA:263553	CDSN
ORPHA:85288	SHROOM4
ORPHA:171871	NR3C2
ORPHA:280195	DLL1
ORPHA:280195	FGF8
ORPHA:280195	SIX3
ORPHA:280195	TGIF1
ORPHA:280195	NODAL
ORPHA:280195	SHH
ORPHA:280195	ZIC2
ORPHA:280195	STIL
ORPHA:280195	GAS1
ORPHA:280195	DISP1
ORPHA:280195	GLI2
ORPHA:280195	FOXH1
ORPHA:280195	CRIPTO
ORPHA:280195	PTCH1
ORPHA:280195	CDON
ORPHA:85295	HSD17B10
ORPHA:251579	FGFR1
ORPHA:251579	SEPTIN14
ORPHA:251579	TP53
ORPHA:251579	EGFR
ORPHA:251579	FGFR3
ORPHA:251579	LZTR1
ORPHA:251579	IDH1
ORPHA:251579	PPARG
ORPHA:251579	MGMT
ORPHA:251579	NFKBIA
ORPHA:251579	TACC1
ORPHA:251579	ROS1
ORPHA:251579	TACC3
ORPHA:90635	MYO1C
ORPHA:90635	MYH9
ORPHA:90635	MYO7A
ORPHA:90635	EYA4
ORPHA:90635	MYH14
ORPHA:90635	CEACAM16
ORPHA:90635	MYO1A
ORPHA:90635	PDE1C
ORPHA:90635	CD164
ORPHA:90635	DIAPH3
ORPHA:90635	GJB2
ORPHA:90635	TBC1D24
ORPHA:90635	DMXL2
ORPHA:90635	USP48
ORPHA:90635	COCH
ORPHA:90635	SLC44A4
ORPHA:90635	HOMER2
ORPHA:90635	ABCC1
ORPHA:90635	MYO6
ORPHA:90635	SSBP1
ORPHA:90635	GJB6
ORPHA:90635	SIX1
ORPHA:90635	CRYM
ORPHA:90635	GJB3
ORPHA:90635	PLS1
ORPHA:90635	ATP11A
ORPHA:90635	KCNQ4
ORPHA:90635	ACTG1
ORPHA:90635	PTPRQ
ORPHA:90635	TECTA
ORPHA:90635	TMC1
ORPHA:90635	POU4F3
ORPHA:90635	COL11A2
ORPHA:90635	MIR96
ORPHA:90635	WFS1
ORPHA:90635	TJP2
ORPHA:90635	TRRAP
ORPHA:90635	KITLG
ORPHA:90635	CENPP
ORPHA:90635	DIABLO
ORPHA:90635	GSDME
ORPHA:90635	P2RX2
ORPHA:90635	MAP1B
ORPHA:90635	CCDC50
ORPHA:90635	COL11A1
ORPHA:90635	OSBPL2
ORPHA:90635	MCM2
ORPHA:90635	GRHL2
ORPHA:90635	SLC17A8
ORPHA:90635	TNC
ORPHA:90636	EPS8
ORPHA:90636	GJA1
ORPHA:90636	S1PR2
ORPHA:90636	TMEM132E
ORPHA:90636	BSND
ORPHA:90636	ATP2B2
ORPHA:90636	TPRN
ORPHA:90636	OTOA
ORPHA:90636	ELMOD3
ORPHA:90636	MYO7A
ORPHA:90636	PCDH15
ORPHA:90636	WHRN
ORPHA:90636	ADCY1
ORPHA:90636	PPIP5K2
ORPHA:90636	LHFPL5
ORPHA:90636	ESRRB
ORPHA:90636	MET
ORPHA:90636	RIPOR2
ORPHA:90636	SERPINB6
ORPHA:90636	CEACAM16
ORPHA:90636	HGF
ORPHA:90636	SYNE4
ORPHA:90636	ILDR1
ORPHA:90636	GJB2
ORPHA:90636	ESPN
ORPHA:90636	OTOGL
ORPHA:90636	TBC1D24
ORPHA:90636	OTOG
ORPHA:90636	GRXCR2
ORPHA:90636	GIPC3
ORPHA:90636	OTOF
ORPHA:90636	TMPRSS3
ORPHA:90636	MSRB3
ORPHA:90636	LRTOMT
ORPHA:90636	MYO15A
ORPHA:90636	STRC
ORPHA:90636	MYO6
ORPHA:90636	SLC26A5
ORPHA:90636	EPS8L2
ORPHA:90636	TRIOBP
ORPHA:90636	WBP2
ORPHA:90636	GJB6
ORPHA:90636	CDH23
ORPHA:90636	USH1C
ORPHA:90636	BDP1
ORPHA:90636	GJB3
ORPHA:90636	MPZL2
ORPHA:90636	CLIC5
ORPHA:90636	PTPRQ
ORPHA:90636	CABP2
ORPHA:90636	TECTA
ORPHA:90636	TMC1
ORPHA:90636	DCDC2
ORPHA:90636	COL11A2
ORPHA:90636	MYO3A
ORPHA:90636	PNPT1
ORPHA:90636	KARS1
ORPHA:90636	CIB2
ORPHA:90636	PJVK
ORPHA:90636	LOXHD1
ORPHA:90636	ROR1
ORPHA:90636	AFG2B
ORPHA:90636	SLITRK6
ORPHA:90636	RDX
ORPHA:90636	TMIE
ORPHA:90636	GPSM2
ORPHA:90636	SLC26A4
ORPHA:90636	GRAP
ORPHA:90636	NARS2
ORPHA:90636	MINAR2
ORPHA:90636	CLDN14
ORPHA:90636	CDC14A
ORPHA:90636	MARVELD2
ORPHA:90636	GRXCR1
ORPHA:85293	CUL4B
